mucopolysaccharide,Best,Also known as glycosaminoglycans. This is a large class of ingredients that includes hyaluronic...
Mucor miehei extract,Average,Extract of a type of mold whose enzymes are used as a food additive and flavor enhancer in cheeses....
mugwort extract,Average,There is no research showing this extract has any benefit for skin (Sources:...
mulberry extract,Good,"Non-fragrant plant extract (Latin name is Morus alba) whose various parts such as the leaf and root, have shown potential to brighten and improve the look..."
murumuru seed butter,Good,
myristic acid,Good,Cleansing agent that also creates foam and can be drying.
myristoyl hexapeptide-16,Best,"Myristoyl hexapeptide-16 is a synthetic, fatty acid-linked peptide known to improve skin’s resilience, visibly calm, and help skin look and feel smoother."
myristoyl pentapeptide-17,Best,Myristoyl pentapeptide-17 is a synthetic peptide known to increase skin's hydration and resilience.
myristoyl tripeptide-31,Best,A synthetic peptide made from combining the fatty acid myristic acid with tripeptide-31. This peptide is believed to have a retinol-like effect on skin’s appearance.
myristyl alcohol,Good,"A lighter-weight fatty alcohol that functions as a thickener, emulsion stabilizer, and emollient."
myristyl myristate,Good,Used in cosmetics as a texture enhancer and emollient.
myristyl nicotinate,Best,"A derivative of nicotinic acid, a component of vitamin B3 (niacin) that isn’t the same ingredient..."
myrrh,Poor,Fragrant gum resin that can be a skin sensitizer. There is little research showing it has any benefit...
myrtle extract,Poor,Contains volatile oil and tannins...
Myrtus communis extract,Poor,
N6-furfuryladenine,Average,Technical name for kinetin.
N-acetyl-L tyrosine,Average,
NaPCA,Good,
Narcissus poeticus wax,Poor,Fragrant flower extract that can cause sensitizing reactions…
Nardostachys jatamansi,Good,
Nasturtium officinale extract,Average,
natto gum,Good,Fermentation product of soy protein. It may be a potent antioxidant (Source: Journal of...
natural moisturizing factor (NMF),Best,One of the primary elements in keeping skin feeling and looking healthier…
neem extract,Best,Neem extract has antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface.
neem oil,Poor,Neem oil contains a chemical known as nimbidin that gives it a sulfur-like odor.
neopentyl glycol dicaprylate/dicaprate,Good,Used as an emollient and texture enhancer.
neopentyl glycol diheptanoate,Good,Mixture of texture-enhancing ingredient neopentyl glycol and grape-derived fatty acid heptanoic acid...
neroli,Poor,
neroli oil,Poor,Fragrant plant oil that can be a skin sensitizer...
nettle extract,Average,Extract that may have soothing properties...
niacin,Best,
niacinamide,Best,"Also known as vitamin B3 and nicotinic acid, niacinamide is a very effective skin-restoring ingredient..."
nicotinamide,Best,
nicotinic acid,Best,
noni juice,Good,"Also known as morinda or Morinda citrifolia, comes from a small evergreen tree. The juice from this..."
nonoxynols,Good,Used as a mild cleansing agent.
nylon-12,Good,Powder substance that is used as an absorbent and texture enhancer...
Nymphaea tetragona,Best,Also known as pygmy waterlily. The stem has been shown to be an antioxidant...
oak root extract,Poor,Extract that can be a skin sensitizer.
oat beta-glucan,Best,
oat bran extract,Best,Oat bran extract is a portion of the oat plant that contains antioxidant and soothing properties...
oat kernel extract,Best,
oatmeal,Best,Can have skin-soothing properties…
octinoxate,Best,Also known as octyl methoxycinnamate and ethylhexyl methoxycinnamate…
octisalate,Best,Technical name for the active sunscreen ingredient octyl salicylate (also known as ethylhexyl...
octocrylene,Best,Globally-approved sunscreen agent that protects skin from the UVB range of sunlight.
octyldodecanol,Good,"Opacifying agent, used primarily as a texture enhancer in moisturizers because of its lubricating and emollient properties."
octyldodecyl myristate,Good,Mixture of octyldodecanol (thickener) and myristic acid that forms a new compound used as a...
octyldodecyl neopentanoate,Good,Skin-softening agent and emollient.
octyl methoxycinnamate,Best,Sunscreen agent used to protect skin primarily from the sun’s UVB rays…
octyl palmitate,Good,Used in cosmetics as a texture enhancer and emollient.
octyl salicylate,Best,Sunscreen agent used to protect skin primarily from the sun’s UVB rays...
octyl stearate,Good,Used in cosmetics as a texture enhancer and emollient.
o-cymen-5-ol,Good,Preservative used in cosmetics.
Oenothera biennis oil,Best,
Olea europaea fruit oil,Good,
Olea europaea oil unsaponifiables,Best,An unsaponifiable oil is the portion of a plant oil that is not broken down when the oil's fatty...
oleanolic acid,Best,"A skin-soothing ingredient, especially when used in synthetic rather than natural form..."
oleic acid,Good,Fatty acid used as a cleansing agent and texture enhancer.
oleth-10,Good,A form of fatty alcohol that functions as a texture enhancer and cleansing agent.
oleths,Good,Mild cleansing agents.
oleyl erucate,Good,"Skin-softening agent derived from oleyl alcohol, which is obtained chiefly from fish oil."
olibanum extract,Poor,
olive oil/olive fruit oil,Good,Emollient plant oil similar to many other non-fragrant plant oils. The concept of olive oil having...
orange blossom,Poor,Fragrant extract that can also be a skin sensitizer.
Orbignya martiana,Good,
Orbignya oleifera,Good,
orchid,Poor,Fragrant flower that can be a skin sensitizer.
oregano,Poor,"Has beneficial properties, but can also be a skin sensitizer."
Origanum majorana,Poor,
Origanum vulgare flower extract,Poor,
orris root,Poor,Used primarily as a fragrant component due to its violet-like scent (Source:...
oryzanol,Good,"Component of plants and their products, such as rice bran, that has potent antioxidant properties."
Oryza sativa cera,Best,"A natural, non-fragrant wax obtained from rice bran. It functions as a skin-softening agent..."
Oryza sativa oil,Good,
oxidoreductase,Best,Large group of enzymes that block oxygen in different forms from generating environmental damage.
oxybenzone,Best,Oxybenzone (also known as benzophenone-3) is a sunscreen agent that protects primarily from the...
ozokerite,Good,"Mineral that is used as a texture enhancer in cosmetics, especially in lipsticks and stick..."
P. elisabethae,Good,The “P.” is short for the genus Pseudopterogorgia.
PABA,Poor,
padimate O,Average,"Sunscreen agent that protects skin primarily from the sun’s UVB rays (Source: Skin Therapy Letter,..."
Padina pavonica extract,Good,
Paeonia albiflora extract,Average,
Paeonia suffruticosa extract,Average,
Palmaria palmata extract,Good,Extract from a type of algae whose common name is dulse.
palmarosa oil,Poor,
palmitic acid,Good,Blend of the fatty acid palmitic acid with several amino acids…
palmitoyl hexapeptide-12,Best,Blend of the fatty acid palmitic acid with several amino acids…
palmitoyl oligopeptide,Best,"A blend of palmitic acid (a fatty acid) with several amino acids, including alanine, arginine,..."
palmitoyl pentapeptide-4,Best,"Trade name Matrixyl, a fatty acid mixed with amino acids. The only research showing this has any..."
palmitoyl tetrapeptide-7,Best,A synthetic peptide whose trade name is Matrixyl 3000…
palmitoyl tripeptide-1,Best,Palmitoyl tripeptide-1 is a synthetic fatty acid-linked peptide that can help repair visible skin damage and strengthen skin’s underlying supportive elements.
Palmitoyl Tripeptide-38,Best,An ingredient manufactured by the brand Sederma under the trade name MATRIXYL synthe’6...
palmitoyl tripeptide-5,Best,A synthetic peptide that  is believed to play a role in the appearance of skin firmness...
palmitoyl tripeptide-8,Best, 'A plant-derived or synthetic peptide made from combining the fatty acid palmitic acid with...
palm kernel acid,Good,"A mixture of fatty acids derived from palm oil. Used as a cleansing agent, emulsifier, or to add..."
palm oil,Best,Has emollient and antioxidant properties for skin.
Panax ginseng root extract,Best,"Ginseng is a popular herbal supplement. When applied topically it delivers antioxidant benefits, boosts hydration, and helps visibly improve signs of skin aging."
Panicum miliaceum,Average,
pansy extract,Average,Extract for which there is a small amount of research showing it has skin soothing and...
pantethine,Good,Also known as pantothenic acid.
panthenol,Best,Alcohol form of the B vitamin pantothenic acid.
pantothenic acid,Best,"Also called vitamin B5, and often touted for a variety of benefits to skin. However, there is only one..."
papain,Poor,"Enzyme extracted from papaya. Applied topically, papain can aggravate skin..."
papaya extract,Average,"Extract that is the source of papain, which theoretically can have exfoliating properties on skin,..."
para-aminobenzoic acid (PABA),Poor,Sunscreen ingredient rarely used since the 1990s because of strong potential for sensitizing reactions.
parabens,Good,"Group of preservatives, including butylparaben, propylparaben, methylparaben, and ethylparaben,..."
paraffin,Good,"Waxy, petroleum-based substance used as a thickener in cosmetics."
Paraffinum liquidum,Good,"The Latin name for emollient ingredient mineral oil, also known as liquid paraffin."
Parsol 1789,Best,
Passiflora edulis extract,Good,The layperson term for this Brazilian-based plant oil is passion fruit…
Passiflora edulis seed oil,Best,"Non-fragrant plant oil from the passion fruit plant, and a rich source of fatty acids and antioxidants..."
passion fruit extract,Good,There is no research showing this has any benefit for skin.
patchouli,Poor,Fragrant oil derived from mint. It contains eugenol and can aggravate skin.
pawpaw extract,Average,
PCA,Good,"PCA (which stands for pyrrolidone carboxylic acid), is an ingredient derived from amino acids that serves as a humectant and is part of the natural moisturizing factor."
peanut oil,Good,Emollient plant oil similar to all nonfragrant plant oils.
pecan oil,Good,Emollient plant oil similar to all nonfragrant plant oils.
pectin,Good,"Natural substance found in plants, especially apples, and used in cosmetics as an emulsifier and..."
PEG/PPG-17/6 copolymer,Good,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
